date,value
2024-01-01,63.148
2024-01-02,61.462
2024-01-03,62.542
2024-01-04,65.49
2024-01-05,62.159
2024-01-06,60.85
2024-01-07,39.923
2024-01-08,57.282
2024-01-09,74.007
2024-01-10,67.618
2024-01-11,69.375
2024-01-12,62.505
2024-01-13,63.56
2024-01-14,40.663
2024-01-15,58.605
2024-01-16,75.338
2024-01-17,74.023
2024-01-18,71.313
2024-01-19,63.0
2024-01-20,59.128
2024-01-21,35.245
2024-01-22,58.13
2024-01-23,66.812
2024-01-24,65.912
2024-01-25,62.928
2024-01-26,58.66
2024-01-27,58.947
2024-01-28,35.487
2024-01-29,61.598
2024-01-30,69.746
2024-01-31,70.913
2024-02-01,8.011
2024-02-02,46.304
2024-02-03,49.301
2024-02-04,28.617
2024-02-05,32.079
2024-02-06,50.293
2024-02-07,59.995
2024-02-08,62.454
2024-02-09,36.539
2024-02-10,19.934
2024-02-11,26.038
2024-02-12,15.316
2024-02-13,30.185
2024-02-14,21.121
2024-02-15,28.955
2024-02-16,37.678
2024-02-17,40.87
2024-02-18,44.006
2024-02-19,63.803
2024-02-20,67.918
2024-02-21,10.934
