date,真实值,ARIMA
2024-02-15,28.955,21.12
2024-02-16,37.678,28.96
2024-02-17,40.87,37.68
2024-02-18,44.006,40.87
2024-02-19,63.803,44.01
2024-02-20,67.918,63.8
2024-02-21,10.934,67.92
