date,真实值,ARIMA
2024-02-15,6.698,4.57
2024-02-16,6.369,6.29
2024-02-17,0.576,7.31
2024-02-18,6.029,3.78
2024-02-19,9.701,4.26
2024-02-20,10.488,6.29
2024-02-21,5.051,8.33
