date,真实值,ARIMA
2024-02-15,5.795,4.05
2024-02-16,5.795,5.56
2024-02-17,5.078,5.57
2024-02-18,1.95,4.87
2024-02-19,5.773,1.82
2024-02-20,10.379,5.57
2024-02-21,5.795,10.19
