date,真实值,ARIMA
2024-02-15,14.099,14.77
2024-02-16,8.521,14.8
2024-02-17,16.437,8.95
2024-02-18,13.396,17.26
2024-02-19,17.926,14.07
2024-02-20,14.213,18.82
2024-02-21,4.096,14.92
