date,真实值,ARIMA
2024-02-15,18.924,25.84
2024-02-16,17.74,25.95
2024-02-17,20.107,26.0
2024-02-18,16.079,26.14
2024-02-19,15.821,26.1
2024-02-20,13.675,26.06
2024-02-21,16.684,25.91
