date,运营值,预测值(旧),预测值(新)
2024-01-13,28.8,22.617,21.66
2024-01-14,25.8,23.288,29.12
2024-01-15,22.7,23.594,25.31
2024-01-16,19.4,23.75,23.7
2024-01-17,26.7,23.632,19.74
2024-01-18,29.9,23.888,25.67
2024-01-19,18.1,24.359,29.94
2024-01-20,17.3,24.148,18.31
2024-01-21,19.2,23.992,18.98
2024-01-22,13.6,23.896,19.88
2024-01-23,20.1,23.503,13.56
2024-01-24,19.3,23.426,19.66
2024-01-25,13.2,23.355,19.66
2024-01-26,11.0,23.001,12.9
2024-01-27,12.3,22.629,11.84
2024-01-28,12.5,22.3,12.21
2024-01-29,7.0,22.007,12.56
