date,运营值,预测值(旧),预测值(新)
2024-01-13,14.3,16.453,14.11
2024-01-14,14.5,16.43,14.68
2024-01-15,14.6,16.452,14.99
2024-01-16,12.7,15.552,13.71
2024-01-17,12.3,15.559,13.33
2024-01-18,12.5,15.65,13.41
2024-01-19,14.0,15.755,13.55
2024-01-20,12.8,15.787,13.65
2024-01-21,13.9,15.761,13.68
2024-01-22,17.9,15.591,13.61
2024-01-23,13.7,15.642,13.57
2024-01-24,12.3,15.592,13.61
2024-01-25,13.8,15.596,13.6
2024-01-26,18.2,15.611,13.63
2024-01-27,12.1,15.558,13.65
2024-01-28,13.3,15.52,13.63
2024-01-29,13.5,15.511,13.62
