date,运营值,预测值(旧),预测值(新)
2024-01-13,15.5,26.247,30.79
2024-01-14,35.8,25.549,29.9
2024-01-15,32.9,26.516,30.93
2024-01-16,36.5,27.191,31.71
2024-01-17,32.8,27.975,32.58
2024-01-18,35.9,28.412,33.13
2024-01-19,31.5,29.03,33.84
2024-01-20,31.9,29.301,34.23
2024-01-21,13.3,29.589,34.62
2024-01-22,36.3,28.888,33.58
2024-01-23,36.3,29.374,34.15
2024-01-24,35.1,29.844,34.7
2024-01-25,32.0,30.195,35.14
2024-01-26,36.2,30.412,35.45
2024-01-27,35.8,30.773,35.89
2024-01-28,35.1,31.077,36.27
2024-01-29,34.3,31.347,36.62
