date,value
2024-01-07 11:00:00,3.699707
2024-01-07 12:00:00,4.006737
2024-01-07 13:00:00,3.862583
2024-01-07 14:00:00,0.281108
2024-01-07 15:00:00,1.555576
2024-01-07 16:00:00,4.660906
2024-01-07 17:00:00,3.302517
2024-01-07 18:00:00,3.156895
2024-01-07 19:00:00,4.33682
2024-01-07 20:00:00,3.674758
2024-01-07 21:00:00,4.067599
2024-01-07 22:00:00,3.490352
2024-01-07 23:00:00,3.747451
2024-01-08 00:00:00,4.277555
2024-01-08 01:00:00,3.57657
2024-01-08 02:00:00,4.27758
2024-01-08 03:00:00,3.122285
2024-01-08 04:00:00,2.382564
2024-01-08 05:00:00,3.063275
2024-01-08 06:00:00,2.386902
2024-01-08 07:00:00,2.392908
2024-01-08 08:00:00,3.322849
2024-01-08 09:00:00,4.595492
2024-01-08 10:00:00,4.684797
2024-01-08 11:00:00,4.253018
2024-01-08 12:00:00,3.675023
2024-01-08 13:00:00,3.304686
2024-01-08 14:00:00,4.403399
2024-01-08 15:00:00,3.233582
2024-01-08 16:00:00,4.388833
2024-01-08 17:00:00,3.057566
2024-01-08 18:00:00,2.763485
2024-01-08 19:00:00,1.878648
2024-01-08 20:00:00,4.767317
2024-01-08 21:00:00,2.840579
2024-01-08 22:00:00,2.850518
2024-01-08 23:00:00,4.199062
2024-01-09 00:00:00,2.866789
2024-01-09 01:00:00,4.441127
2024-01-09 02:00:00,2.888495
2024-01-09 03:00:00,3.649966
2024-01-09 04:00:00,3.260282
2024-01-09 05:00:00,0.191159
2024-01-09 06:00:00,2.447562
2024-01-09 07:00:00,3.565886
2024-01-09 08:00:00,3.598056
2024-01-09 09:00:00,1.173179
2024-01-09 10:00:00,4.527244
2024-01-09 11:00:00,3.694718
2024-01-09 12:00:00,3.509734
2024-01-09 13:00:00,2.346075
2024-01-09 14:00:00,0.0
2024-01-09 15:00:00,1.815762
2024-01-09 16:00:00,1.643085
2024-01-09 17:00:00,3.403556
2024-01-09 18:00:00,2.381677
2024-01-09 19:00:00,3.241007
2024-01-09 20:00:00,3.016768
2024-01-09 21:00:00,3.776169
2024-01-09 22:00:00,0.10614
2024-01-09 23:00:00,0.517098
2024-01-10 00:00:00,0.318809
2024-01-10 01:00:00,0.214127
2024-01-10 02:00:00,0.043404
2024-01-10 03:00:00,0.0
2024-01-10 04:00:00,0.0
2024-01-10 05:00:00,1.389445
2024-01-10 06:00:00,2.472592
2024-01-10 07:00:00,2.409749
2024-01-10 08:00:00,3.778201
2024-01-10 09:00:00,3.003094
2024-01-10 10:00:00,1.738307
2024-01-10 11:00:00,0.859646
2024-01-10 12:00:00,1.987169
2024-01-10 13:00:00,3.570975
2024-01-10 14:00:00,4.488669
2024-01-10 15:00:00,2.717279
2024-01-10 16:00:00,0.06318
2024-01-10 17:00:00,0.0
2024-01-10 18:00:00,2.037968
2024-01-10 19:00:00,0.687384
2024-01-10 20:00:00,4.091694
2024-01-10 21:00:00,2.849936
2024-01-10 22:00:00,1.258141
2024-01-10 23:00:00,1.313856
2024-01-11 00:00:00,2.940974
2024-01-11 01:00:00,1.630825
2024-01-11 02:00:00,0.0
2024-01-11 03:00:00,2.26876
2024-01-11 04:00:00,2.843856
2024-01-11 05:00:00,3.415203
2024-01-11 06:00:00,1.552962
2024-01-11 07:00:00,0.0
2024-01-11 08:00:00,0.495423
2024-01-11 09:00:00,3.863383
2024-01-11 10:00:00,4.259751
2024-01-11 11:00:00,1.762143
2024-01-11 12:00:00,0.0
2024-01-11 13:00:00,3.66006
2024-01-11 14:00:00,3.780194
2024-01-11 15:00:00,0.565774
2024-01-11 16:00:00,3.611529
2024-01-11 17:00:00,1.810097
2024-01-11 18:00:00,3.916193
2024-01-11 19:00:00,2.651127
2024-01-11 20:00:00,3.002347
2024-01-11 21:00:00,2.357544
2024-01-11 22:00:00,2.66417
2024-01-11 23:00:00,2.046771
