date,value
2024-01-01,9.613
2024-01-02,10.659
2024-01-03,11.0
2024-01-04,11.18
2024-01-05,10.811
2024-01-06,9.613
2024-01-07,11.705
2024-01-08,11.683
2024-01-09,11.717
2024-01-10,9.335
2024-01-11,8.459
2024-01-12,10.302
2024-01-13,12.126
2024-01-14,9.405
2024-01-15,11.267
2024-01-16,10.908
2024-01-17,11.121
2024-01-18,8.779
2024-01-19,10.74
2024-01-20,10.619
2024-01-21,9.772
2024-01-22,10.579
2024-01-23,10.742
2024-01-24,18.163
2024-01-25,17.953
2024-01-26,10.2
2024-01-27,10.201
2024-01-28,9.15
2024-01-29,18.508
