date,value
2024-01-01,38.856
2024-01-02,33.1
2024-01-03,29.988
2024-01-04,43.989
2024-01-05,46.435
2024-01-06,35.012
2024-01-07,10.078
2024-01-08,16.035
2024-01-09,19.603
2024-01-10,36.315
2024-01-11,7.401
2024-01-12,26.984
2024-01-13,12.958
2024-01-14,24.226
2024-01-15,5.168
2024-01-16,21.04
2024-01-17,8.963
2024-01-18,15.684
2024-01-19,12.777
2024-01-20,15.374
2024-01-21,14.696
2024-01-22,19.211
2024-01-23,18.903
2024-01-24,16.606
2024-01-25,11.161
2024-01-26,7.236
2024-01-27,14.697
2024-01-28,9.231
2024-01-29,14.911
