date,value
2024-01-01,
2024-01-02,
2024-01-03,5.436
2024-01-04,12.824
2024-01-05,15.753
2024-01-06,18.152
2024-01-07,18.854
2024-01-08,5.436
2024-01-09,20.212
2024-01-10,21.611
2024-01-11,25.349
2024-01-12,21.662
2024-01-13,21.765
2024-01-14,27.246
2024-01-15,28.831
2024-01-16,24.456
2024-01-17,29.082
2024-01-18,37.288
2024-01-19,42.201
2024-01-20,39.014
2024-01-21,38.19
2024-01-22,31.841
2024-01-23,44.786
2024-01-24,32.698
2024-01-25,44.175
2024-01-26,36.26
2024-01-27,1.54
2024-01-28,31.892
2024-01-29,28.668
