date,value
2024-01-01,22.014
2024-01-02,15.785
2024-01-03,25.382
2024-01-04,21.11
2024-01-05,22.867
2024-01-06,24.023
2024-01-07,19.963
2024-01-08,16.734
2024-01-09,23.014
2024-01-10,13.153
2024-01-11,20.995
2024-01-12,21.69
2024-01-13,28.497
2024-01-14,25.054
2024-01-15,23.579
2024-01-16,19.871
2024-01-17,25.44
2024-01-18,29.43
2024-01-19,18.494
2024-01-20,19.121
2024-01-21,19.976
2024-01-22,13.862
2024-01-23,19.754
2024-01-24,19.757
2024-01-25,13.178
2024-01-26,12.128
2024-01-27,12.483
2024-01-28,12.812
2024-01-29,8.111
