date,value
2024-01-01,47.16
2024-01-02,47.16
2024-01-03,44.149
2024-01-04,48.837
2024-01-05,36.94
2024-01-06,47.16
2024-01-07,36.94
2024-01-08,41.138
2024-01-09,58.214
2024-01-10,1.25
2024-01-11,44.386
2024-01-12,43.831
2024-01-13,59.178
2024-01-14,44.149
2024-01-15,40.633
2024-01-16,59.374
2024-01-17,53.677
2024-01-18,42.73
2024-01-19,53.732
2024-01-20,53.732
2024-01-21,53.428
2024-01-22,50.272
2024-01-23,48.135
2024-01-24,59.394
2024-01-25,49.486
2024-01-26,45.535
2024-01-27,48.172
2024-01-28,39.587
2024-01-29,48.172
