date,value
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,0.507
2024-01-05,11.812
2024-01-06,15.207
2024-01-07,17.108
2024-01-08,18.076
2024-01-09,0.507
2024-01-10,23.116
2024-01-11,21.998
2024-01-12,22.811
2024-01-13,21.949
2024-01-14,21.969
2024-01-15,23.276
2024-01-16,22.956
2024-01-17,21.883
2024-01-18,23.158
2024-01-19,22.711
2024-01-20,21.487
2024-01-21,14.848
2024-01-22,29.538
2024-01-23,24.984
2024-01-24,24.324
2024-01-25,6.588
2024-01-26,18.433
2024-01-27,2.385
2024-01-28,22.824
2024-01-29,21.976
