date,value
2024-01-01,16.866
2024-01-02,18.988
2024-01-03,19.091
2024-01-04,19.008
2024-01-05,19.033
2024-01-06,16.866
2024-01-07,21.11
2024-01-08,19.298
2024-01-09,18.759
2024-01-10,19.132
2024-01-11,10.198
2024-01-12,16.074
2024-01-13,19.7
2024-01-14,25.653
2024-01-15,26.595
2024-01-16,22.67
2024-01-17,25.808
2024-01-18,26.328
2024-01-19,20.436
2024-01-20,24.235
2024-01-21,23.499
2024-01-22,26.408
2024-01-23,24.135
2024-01-24,24.641
2024-01-25,25.155
2024-01-26,23.495
2024-01-27,24.401
2024-01-28,23.47
2024-01-29,30.425
2024-01-30,30.272
