date,value
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,14.713
2024-01-05,20.127
2024-01-06,23.146
2024-01-07,23.099
2024-01-08,21.88
2024-01-09,14.713
2024-01-10,25.541
2024-01-11,29.183
2024-01-12,22.958
2024-01-13,17.003
2024-01-14,33.775
2024-01-15,30.899
2024-01-16,20.32
2024-01-17,25.408
2024-01-18,37.714
2024-01-19,21.717
2024-01-20,19.459
2024-01-21,31.12
2024-01-22,34.618
2024-01-23,27.329
2024-01-24,21.267
2024-01-25,2.614
2024-01-26,25.692
2024-01-27,13.231
2024-01-28,41.58
2024-01-29,33.775
