date,真实值,LSTM
2024-01-01,63.148,
2024-01-02,61.462,
2024-01-03,62.542,
2024-01-04,65.49,
2024-01-05,62.159,
2024-01-06,60.85,
2024-01-07,39.923,
2024-01-08,57.282,
2024-01-09,74.007,
2024-01-10,67.618,
2024-01-11,69.375,
2024-01-12,62.505,
2024-01-13,63.56,
2024-01-14,40.663,
2024-01-15,58.605,
2024-01-16,75.338,
2024-01-17,74.023,
2024-01-18,71.313,
2024-01-19,63.0,
2024-01-20,59.128,
2024-01-21,35.245,
2024-01-22,58.13,30.06372833251953
2024-01-23,66.812,30.06382942199707
2024-01-24,65.912,30.06385803222656
2024-01-25,62.928,30.063854217529297
2024-01-26,58.66,30.063844680786133
2024-01-27,58.947,30.063831329345703
2024-01-28,35.487,30.063831329345703
2024-01-29,61.598,30.06372833251953
2024-01-30,69.746,30.0638427734375
2024-01-31,70.913,30.063865661621094
